Event_COLOR_CODE,Event_COLOR_ROOT_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,RootEventCode,MainReason,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword
"ff4800
",ff4803,JO,SY,SY,012,01,"MAKE PUBLIC STATEMENT
","Make pessimistic comment
",31.95,35.9333,33.5,36.3,33.5,36.3,--,"Amman, (JO11), Jordan","Damascus, Dimashq, Syria",
"571d14
",571d1e,JO,SY,SY,172,17,"COERCE
","Impose administrative sanctions, not specified below
",31.95,35.9333,33.5,36.3,33.5,36.3,--,"Amman, (JO11), Jordan","Damascus, Dimashq, Syria",
"bf5e75
",bf5e7b,SY,SY,SY,042,04,"CONSULT
","Make a visit
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"bf5e75
",bf5e7c,SY,SY,SY,043,04,"CONSULT
","Host a visit
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"bf5e75
",bf5e7b,SY,SY,SY,042,04,"CONSULT
","Make a visit
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"bf5e75
",bf5e7c,SY,SY,SY,043,04,"CONSULT
","Host a visit
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"e9c392
",e9c394,SY,SY,SY,110,11,"DISAPPROVE
","Disapprove, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"bf5e75
",bf5e7b,SY,TU,TU,042,04,"CONSULT
","Make a visit
",35,38,41.0186,28.9647,41.0186,28.9647,--,Syria,"Istanbul, Istanbul, Turkey",
"bf5e75
",bf5e7f,SY,TU,TU,190,19,"FIGHT
","Use conventional military force, not specified below
",33.5,36.3,39.9272,32.8644,39.9272,32.8644,--,"Damascus, Dimashq, Syria","Ankara, Ankara, Turkey",
"bf5e75
",bf5e7c,TU,SY,TU,043,04,"CONSULT
","Host a visit
",41.0186,28.9647,35,38,41.0186,28.9647,--,"Istanbul, Istanbul, Turkey",Syria,
"ff4800
",ff4803,LY,LY,YM,012,01,"MAKE PUBLIC STATEMENT
","Make pessimistic comment
",25,17,25,17,13.1287,45.3807,--,Libya,Libya,
"ff4800
",ff4803,LY,LY,LY,012,01,"MAKE PUBLIC STATEMENT
","Make pessimistic comment
",25,17,25,17,25,17,--,Libya,Libya,
"bf5e75
",bf5e7b,SY,TU,TU,042,04,"CONSULT
","Make a visit
",35,38,36.2066,36.1572,36.2066,36.1572,--,Syria,"Hatay, Hatay, Turkey",
"bf5e75
",bf5e7c,TU,TU,TU,043,04,"CONSULT
","Host a visit
",36.2066,36.1572,36.2066,36.1572,36.2066,36.1572,--,"Hatay, Hatay, Turkey","Hatay, Hatay, Turkey",
"57144e
",571454,TU,SY,TU,141,14,"PROTEST
","Demonstrate or rally
",36.2066,36.1572,33.5,36.3,36.2066,36.1572,--,"Hatay, Hatay, Turkey","Damascus, Dimashq, Syria",
"57144e
",571454,TU,SY,TU,141,14,"PROTEST
","Demonstrate or rally
",36.2066,36.1572,35,38,36.2066,36.1572,--,"Hatay, Hatay, Turkey",Syria,
"57144e
",571454,JO,TU,SY,141,14,"PROTEST
","Demonstrate or rally
",31.95,35.9333,36.2066,36.1572,33.5,36.3,--,"Amman, (JO11), Jordan","Hatay, Hatay, Turkey",
"57144e
",571454,JO,TU,TU,141,14,"PROTEST
","Demonstrate or rally
",31,36,36.2066,36.1572,36.2066,36.1572,--,Jordan,"Hatay, Hatay, Turkey",
"57144e
",571454,SY,JO,SY,141,14,"PROTEST
","Demonstrate or rally
",35,38,31,36,35,38,--,Syria,Jordan,
"bf5e75
",bf5e7b,SY,TU,TU,042,04,"CONSULT
","Make a visit
",35,38,36.2066,36.1572,36.2066,36.1572,--,Syria,"Hatay, Hatay, Turkey",
"bf5e75
",bf5e7c,SY,SY,SY,043,04,"CONSULT
","Host a visit
",35,38,35,38,35,38,--,Syria,Syria,
"c1f827
",c1f82f,SY,SA,SY,080,08,"YIELD
","Yield, not specified below 
",33.5,36.3,25,45,33.5,36.3,--,"Damascus, Dimashq, Syria",Saudi Arabia,
"c1f827
",c1f82f,SY,SA,SA,080,08,"YIELD
","Yield, not specified below 
",33.5,36.3,25,45,25,45,--,"Damascus, Dimashq, Syria",Saudi Arabia,
"5e75bf
",5e75c5,IT,SY,IT,033,03,"EXPRESS INTENT TO COOPERATE
","Express intent to provide matyerial aid, not specified below
",41.9,12.4833,35,38,41.9,12.4833,--,"Rome, Lazio, Italy",Syria,
"5e75bf
",5e75c5,JO,JO,JO,033,03,"EXPRESS INTENT TO COOPERATE
","Express intent to provide matyerial aid, not specified below
",31.95,35.9333,31.95,35.9333,31.95,35.9333,--,"Amman, (JO11), Jordan","Amman, (JO11), Jordan",
"5e75bf
",5e75c5,JO,SY,JO,033,03,"EXPRESS INTENT TO COOPERATE
","Express intent to provide matyerial aid, not specified below
",31.95,35.9333,35,38,31.95,35.9333,--,"Amman, (JO11), Jordan",Syria,
