Event_COLOR_CODE,Event_ROOT_COLOR_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,Root Event Code,Main Reason,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword,Duplicate Entry
"17534d 
",175359,GR,GR,GR,075,07,"PROVIDE AID
","Grant asylum
",39,22,39,22,39,22,"http://greece.greekreporter.com/2014/01/01/syrian-refugees-having-a-hard-time-in-greece/
",Greece,Greece,,0
"5f2fc4
",5f2fc6,UK,SY,SY,020,02,"APPEAL
","Appeal, not specified below
",51.5,-0.116667,35,38,35,38,"http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/
","London, London, City of, United Kingdom",Syria,,0
"571d14
",571d1a,UK,SY,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",51.5,-0.116667,35,38,35,38,"http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/
","London, London, City of, United Kingdom",Syria,,0
"94c42f
",94c432,UK,SY,SY,120,12,"REJECT
","Reject, not specified below
",51.5,-0.116667,35,38,35,38,"http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/
","London, London, City of, United Kingdom",Syria,,0
"bf5e75
",bf5e84,LE,SY,LE,195,19,"FIGHT
","Employ aerial weapons
",33.8719,35.5097,35,38,33.8719,35.5097,"http://www.aa.com.tr/en/news/269492--refugee-killed-3-injured-in-syrian-air-strike-on-lebanese-border-town
","Beirut, Beyrouth, Lebanon",Syria,,0
"bf5e75
",bf5e84,LE,SY,SY,195,19,"FIGHT
","Employ aerial weapons
",33.8719,35.5097,35,38,35,38,"http://www.aa.com.tr/en/news/269492--refugee-killed-3-injured-in-syrian-air-strike-on-lebanese-border-town
","Beirut, Beyrouth, Lebanon",Syria,,0
"bf5e75
",bf5e7f,SY,IS,SY,190,19,"FIGHT
","Use conventional military force, not specified below
",36.2028,37.1586,31.5,34.75,36.2028,37.1586,"http://www.allvoices.com/contributed-news/16256501-syria-death-toll-exceeds-130000-people
","Aleppo, ?alab, Syria",Israel,,1
"17534d 
",175355,IZ,IZ,IZ,071,07,"PROVIDE AID
","Provide economic aid
",36.5933,42.1631,36.5933,42.1631,36.5933,42.1631,"http://www.ekurd.net/mismas/articles/misc2014/1/state7623.htm
","Shafaq, NinawáZ, Iraq","Shafaq, NinawáZ, Iraq",,1
"17534d 
",175355,SY,SY,SY,071,07,"PROVIDE AID
","Provide economic aid
",35,38,35,38,35,38,"http://www.ekurd.net/mismas/articles/misc2014/1/state7623.htm
",Syria,Syria,,1
"c1f827
",c1f833,SY,SY,SY,0841,08,"YIELD
","Return, release person(s)
",36.2028,37.1586,36.2028,37.1586,36.2028,37.1586,"http://www.zawya.com/middle-east/video/VIDTR_31122013234047095/
","Aleppo, ?alab, Syria","Aleppo, ?alab, Syria",,1
"94c42f
",94c432,SY,UK,UK,120,12,"REJECT
","Reject, not specified below
",35,38,51.5,-0.116667,51.5,-0.116667,"http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/
",Syria,"London, London, City of, United Kingdom",,1
"94c42f
",94c432,SY,UK,SY,120,12,"REJECT
","Reject, not specified below
",35,38,51.5,-0.116667,35,38,"http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/
",Syria,"London, London, City of, United Kingdom",,1
"5f2fc4
",5f2fc6,SY,SY,SY,020,02,"APPEAL
","Appeal, not specified below
",35,38,35,38,35,38,"http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/
",Syria,Syria,,1
"571d14
",571d1a,SY,SY,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",35,38,35,38,35,38,"http://www.expressandstar.com/comment/peter-rhodes/2014/01/01/time-to-do-the-decent-thing/
",Syria,Syria,,1
"17534d 
",175359,AM,AM,AM,075,07,"PROVIDE AID
","Grant asylum
",40.1811,44.5136,40.1811,44.5136,40.1811,44.5136,"Hurriyet website, Istanbul/BBC Monitoring/(c) BBC
","Yerevan, Yerevan*, Armenia","Yerevan, Yerevan*, Armenia",,1
"17534d 
",175359,TU,AM,AM,075,07,"PROVIDE AID
","Grant asylum
",39.9272,32.8644,40.1811,44.5136,40.1811,44.5136,"Hurriyet website, Istanbul/BBC Monitoring/(c) BBC
","Ankara, Ankara, Turkey","Yerevan, Yerevan*, Armenia",,1
"c1f827
",c1f82f,TU,SY,TU,080,08,"YIELD
","Yield, not specified below 
",37.7129,38.9432,35,38,37.7129,38.9432,"http://www.todayszaman.com//news-335496-turkey-building-wall-in-karkamis-on-syria-border.html
","Nusaybin, Sanliurfa, Turkey",Syria,,1
"bf5e75
",bf5e81,LE,SY,SY,192,19,"FIGHT
","Occupy territory
",33.8333,36,36.2028,37.1586,36.2028,37.1586,"http://www.unhcr.org/52c3e69c9.html
","Bekaa Valley, Béa, Lebanon","Aleppo, ?alab, Syria",,1
"bf5e75
",bf5e81,TU,SY,SY,192,19,"FIGHT
","Occupy territory
",39,35,36.2028,37.1586,36.2028,37.1586,"http://www.unhcr.org/52c3e69c9.html
",Turkey,"Aleppo, ?alab, Syria",,1
"bf5e75
",bf5e81,TU,SY,TU,192,19,"FIGHT
","Occupy territory
",39,35,36.2028,37.1586,39,35,"http://www.unhcr.org/52c3e69c9.html
",Turkey,"Aleppo, ?alab, Syria",,1
"571d14
",571d1a,SY,KU,KU,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",35,38,29.3375,47.6581,29.3375,47.6581,"http://reliefweb.int/report/syrian-arab-republic/uk-allocates-16-million-support-healthcare-services-syrian-refugees
",Syria,Kuwait,,1
"c1f827
",c1f833,SY,KU,KU,084,08,"YIELD
","Return, release, not specified below
",35,38,29.3375,47.6581,29.3375,47.6581,"https://www.gov.uk/government/news/uk-provides-essential-healthcare-for-syrian-refugees
",Syria,Kuwait,,1
"571d21
",571d29,IZ,IS,SY,062,06,"ENGAGE IN MATERIAL COOPERATION
","Cooperate militarily
",31.7133,44.5058,31.5,34.75,35,38,"http://www.albawaba.com/news/lebanon-iran-544572
","Al Majid, An Najaf, Iraq",Israel,,1
"571d21
",571d29,IS,SY,SY,062,06,"ENGAGE IN MATERIAL COOPERATION
","Cooperate militarily
",31.5,34.75,35,38,35,38,"The Daily Star website, Beirut/BBC Monitoring/(c) BBC
",Israel,Syria,,1
"bf5e75
",bf5e7c,LE,SY,LE,043,04,"CONSULT
","Host a visit
",33.6667,35.8333,35,38,33.6667,35.8333,"http://www.kuna.net.kw/ArticleDetails.aspx?id=2353414&Language=en
","Bekaa, Béa, Lebanon",Syria,,1
"bf5e75
",bf5e7c,LE,SY,SY,043,04,"CONSULT
","Host a visit
",34.1794,36.4208,36.2028,37.1586,36.2028,37.1586,"http://gulfnews.com/news/region/syria/20-killed-in-aleppo-air-strike-1.1273209
","Arsal, Mohafazat Baalbek-Hermel, Lebanon","Aleppo, ?alab, Syria",,1
"bf5e75
",bf5e7f,LE,SY,LE,190,19,"FIGHT
","Use conventional military force, not specified below
",34.1794,36.4208,33.5,36.3,34.1794,36.4208,"http://www.globalpost.com/dispatch/news/afp/140102/shelling-wounds-syrian-at-lebanon-border-security-source
","Arsal, Mohafazat Baalbek-Hermel, Lebanon","Damascus, Dimashq, Syria",,1
"571d21
",571d27,NO,SY,SY,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",62,10,33.5,36.3,33.5,36.3,"http://www.globalpost.com/dispatch/news/afp/140102/shelling-wounds-syrian-at-lebanon-border-security-source
",Norway,"Damascus, Dimashq, Syria",,1
