Root Event Color Code,Root Event Code,Root Event Name,Total Count Root Event,Event Code,Event Code Name,Number of Event Code
"['bf5e75\n', 'bf5e7c']",04,"CONSULT
",21,043,"Host a visit
",8
"['bf5e75\n', 'bf5e7b']",04,"CONSULT
",21,042,"Make a visit
",11
"['17534d \n', '175357']",07,"PROVIDE AID
",16,073,"Provide humanitarian aid
",7
"['c1f827\n', 'c1f833']",08,"YIELD
",15,0841,"Return, release person(s)
",1
"['94c42f\n', '94c432']",12,"REJECT
",4,120,"Reject, not specified below
",2
"['57144e\n', '571454']",14,"PROTEST
",6,141,"Demonstrate or rally
",6
"['17534d \n', '175354']",07,"PROVIDE AID
",16,070,"Provide aid, not specified below
",7
"['17534d \n', '175359']",07,"PROVIDE AID
",16,075,"Grant asylum
",2
"['c1f827\n', 'c1f82f']",08,"YIELD
",15,080,"Yield, not specified below 
",14
"['e9c392\n', 'e9c395']",11,"DISAPPROVE
",5,111,"Criticize or denounce 
",3
"['bf5e75\n', 'bf5e84']",19,"FIGHT
",10,195,"Employ aerial weapons
",2
"['5e75bf\n', '5e75c8']",03,"EXPRESS INTENT TO COOPERATE
",24,036,"Express intent to meet or negotiate
",7
"['5e75bf\n', '5e75c2']",03,"EXPRESS INTENT TO COOPERATE
",24,030,"Express intent to cooperate, not specified below
",17
"['bf5e75\n', 'bf5e76']",10,"DEMAND
",6,100,"Demand, not specified below
",6
"['ff4800\n', 'ff4801']",01,"MAKE PUBLIC STATEMENT
",6,010,"Make statement, not specified below
",5
"['571d14\n', '571d1a']",05,"ENGAGE IN DIPLOMATIC COOPERATION
",6,051,"Praise or endorse
",6
"['571d14\n', '571d1e']",17,"COERCE
",6,172,"Impose administrative sanctions, not specified below
",2
"['571d21\n', '571d27']",06,"ENGAGE IN MATERIAL COOPERATION
",4,060,"Engage in material cooperation, not specified below
",4
"['5f2fc4\n', '5f2fcb']",02,"APPEAL
",5,025,"Appeal to yield
",1
"['bf5e75\n', 'bf5e79']",04,"CONSULT
",21,040,"Consult, not specified below
",2
"['94c42f\n', '94c437']",12,"REJECT
",4,125,"Reject proposal to meet, discuss, or negotiate
",2
"['bf5e75\n', 'bf5e7f']",19,"FIGHT
",10,190,"Use conventional military force, not specified below
",4
"['bf5e75\n', 'bf5e81']",19,"FIGHT
",10,192,"Occupy territory
",4
"['571d14\n', '571d1f']",17,"COERCE
",6,173,"Arrest, detain, or charge with legal action 
",4
"['5f2fc4\n', '5f2fc6']",02,"APPEAL
",5,020,"Appeal, not specified below
",2
"['5f2fc4\n', '5f2fcb']",02,"APPEAL
",5,0253,"Appeal for release of persons or property
",2
"['e9c392\n', 'e9c396']",11,"DISAPPROVE
",5,112,"Accuse, not specified below
",2
"['ff4800\n', 'ff4803']",01,"MAKE PUBLIC STATEMENT
",6,012,"Make pessimistic comment
",1
"['c03624\n', 'c0362d']",09,"INVESTIGATE
",1,090,"Investigate, not specified below
",1
"['571d14\n', '571d1a']",05,"ENGAGE IN DIPLOMATIC COOPERATION
",28,051,"Praise or endorse
",17
"['17534d \n', '175354']",07,"PROVIDE AID
",58,070,"Provide aid, not specified below
",9
"['17534d \n', '175357']",07,"PROVIDE AID
",58,073,"Provide humanitarian aid
",29
"['5f2fc4\n', '5f2fcb']",02,"APPEAL
",70,025,"Appeal to yield
",31
"['571d21\n', '571d27']",06,"ENGAGE IN MATERIAL COOPERATION
",13,060,"Engage in material cooperation, not specified below
",13
"['5e75bf\n', '5e75c4']",03,"EXPRESS INTENT TO COOPERATE
",18,032,"Express intent to provide diplomatic cooperation such as policy support
",1
"['5f2fc4\n', '5f2fc6']",02,"APPEAL
",70,020,"Appeal, not specified below
",27
"['c1f827\n', 'c1f836']",08,"YIELD
",70,0871,"Declare truce, ceasefire
",1
"['c1f827\n', 'c1f82f']",08,"YIELD
",70,080,"Yield, not specified below 
",68
"['57144e\n', '571454']",14,"PROTEST
",2,141,"Demonstrate or rally
",2
"['5e75bf\n', '5e75c8']",03,"EXPRESS INTENT TO COOPERATE
",18,036,"Express intent to meet or negotiate
",10
"['17534d \n', '175359']",07,"PROVIDE AID
",58,075,"Grant asylum
",18
"['bf5e75\n', 'bf5e79']",04,"CONSULT
",78,040,"Consult, not specified below
",8
"['e9c392\n', 'e9c395']",11,"DISAPPROVE
",11,111,"Criticize or denounce 
",8
"['bf5e75\n', 'bf5e7b']",04,"CONSULT
",78,042,"Make a visit
",33
"['bf5e75\n', 'bf5e7c']",04,"CONSULT
",78,043,"Host a visit
",37
"['94c42f\n', '94c43b']",12,"REJECT
",14,129,"Veto
",5
"['571d14\n', '571d1f']",17,"COERCE
",5,173,"Arrest, detain, or charge with legal action 
",2
"['ff4800\n', 'ff4801']",01,"MAKE PUBLIC STATEMENT
",39,010,"Make statement, not specified below
",32
"['17534d \n', '175355']",07,"PROVIDE AID
",58,071,"Provide economic aid
",2
"['bf5e75\n', 'bf5e76']",10,"DEMAND
",2,100,"Demand, not specified below
",2
"['e9c392\n', 'e9c394']",11,"DISAPPROVE
",11,110,"Disapprove, not specified below
",3
"['571d14\n', '571d1e']",17,"COERCE
",5,172,"Impose administrative sanctions, not specified below
",2
"['571d14\n', '571d1e']",17,"COERCE
",5,1721,"Impose restrictions on political freedoms  
",1
