Root Event Code,Root Event Count,Root Event Name,Urls,Event Code Name,Event Code Count
02,9,"APPEAL
",['http://www.eubusiness.com/news-eu/syria-conflict-aid.qjg#1393143382\n'],"Appeal, not specified below
",3
04,127,"CONSULT
",['http://main.omanobserver.om/?p=59143\n'],"Host a visit
",51
04,127,"CONSULT
",['http://english.farsnews.com/newstext.aspx?nn=13921204001299\n'],"Make a visit
",61
04,127,"CONSULT
",['http://english.farsnews.com/newstext.aspx?nn=13921204001299&c=KLaT2NZNcQ7DuWPA5pTLs_Q80Lg5xjNqr7CWCHVycFE&mkt=en-us\n'],"Make a visit
",61
03,13,"EXPRESS INTENT TO COOPERATE
",['http://en.trend.az/news/un/2245341.html\n'],"Express intent to meet or negotiate
",12
04,127,"CONSULT
",['http://www.dailystar.com.lb/News/Lebanon-News/2014/Feb-24/248275-jolie-in-lebanon-to-meet-syrian-refugee-families.ashx\n'],"Host a visit
",51
05,8,"ENGAGE IN DIPLOMATIC COOPERATION
",['http://www.nrc.no/?did=9690061\n'],"Praise or endorse
",6
05,8,"ENGAGE IN DIPLOMATIC COOPERATION
",['http://sana.sy/eng/21/2014/02/23/529676.htm\n'],"Praise or endorse
",6
02,9,"APPEAL
",['http://www.thenational.ae/uae/relief-aid-for-200-000-syrians-sets-sail-from-uae\n'],"Appeal, not specified below
",3
02,9,"APPEAL
",['http://www.thenational.ae/uae/relief-aid-for-200-000-syrians-sets-sail-from-uae\n'],"Appeal for economic aid
",1
07,4,"PROVIDE AID
",['http://www.kuna.net.kw/ArticleDetails.aspx?id=2362878&language=en\n'],"Provide aid, not specified below
",2
08,13,"YIELD
",['http://www.huffingtonpost.com/2014/02/22/impact-news-round-up_n_4830509.html?utm_hp_ref=impact\n'],"Receive inspectors
",1
04,127,"CONSULT
",['http://main.omanobserver.om/?p=59143\n'],"Make a visit
",61
08,13,"YIELD
",['http://main.omanobserver.om/?p=59143\n'],"Yield, not specified below 
",12
01,3,"MAKE PUBLIC STATEMENT
",['http://en.trend.az/news/un/2245341.html\n'],"Make statement, not specified below
",3
02,9,"APPEAL
",['http://www.alaskadispatch.com/article/20140223/assad-offensive-near-homs-sends-syrians-fleeing-lebanon\n'],"Appeal for humanitarian aid
",2
03,13,"EXPRESS INTENT TO COOPERATE
",['http://www.worldbulletin.net/haberler/129469/hollywood-actress-visits-syrian-refugees-in-lebanon\n'],"Express intent to meet or negotiate
",12
