Event_COLOR_CODE,Event_COLOR_ROOT_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,RootEventCode,MainReason,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword
"bf5e75
",bf5e7c,LE,SY,SY,043,04,"CONSULT
","Host a visit
",33.8333,35.8333,33.5,36.3,33.5,36.3,--,Lebanon,"Damascus, Dimashq, Syria",
"bf5e75
",bf5e7c,LE,SY,LE,043,04,"CONSULT
","Host a visit
",33.8333,35.8333,33.5,36.3,33.8333,35.8333,--,Lebanon,"Damascus, Dimashq, Syria",
"bf5e75
",bf5e7c,LE,SY,SY,043,04,"CONSULT
","Host a visit
",33.8333,35.8333,36.2028,37.1586,36.2028,37.1586,--,Lebanon,"Aleppo, ?alab, Syria",
"bf5e75
",bf5e7c,LE,SY,LE,043,04,"CONSULT
","Host a visit
",33.8333,35.8333,36.2028,37.1586,33.8333,35.8333,--,Lebanon,"Aleppo, ?alab, Syria",
"bf5e75
",bf5e7f,SY,SY,SY,190,19,"FIGHT
","Use conventional military force, not specified below
",33.459,36.2374,33.4749,36.2842,33.5,36.3,--,"Daraya, Rif Dimashq, Syria","Qadam, Dimashq, Syria",
"bf5e75
",bf5e7f,SY,TU,SY,190,19,"FIGHT
","Use conventional military force, not specified below
",33.459,36.2374,39,35,33.459,36.2374,--,"Daraya, Rif Dimashq, Syria",Turkey,
"bf5e75
",bf5e7f,SY,TU,SY,190,19,"FIGHT
","Use conventional military force, not specified below
",33.459,36.2374,39,35,33.5,36.3,--,"Daraya, Rif Dimashq, Syria",Turkey,
"bf5e75
",bf5e7f,SY,SY,TU,190,19,"FIGHT
","Use conventional military force, not specified below
",33.5,36.3,33.4749,36.2842,39,35,--,"Damascus, Dimashq, Syria","Qadam, Dimashq, Syria",
"bf5e75
",bf5e7f,SY,TU,SY,190,19,"FIGHT
","Use conventional military force, not specified below
",33.5,36.3,39,35,33.4749,36.2842,--,"Damascus, Dimashq, Syria",Turkey,
"bf5e75
",bf5e7f,SY,TU,SY,190,19,"FIGHT
","Use conventional military force, not specified below
",33.5,36.3,39,35,33.459,36.2374,--,"Damascus, Dimashq, Syria",Turkey,
"bf5e75
",bf5e7f,SY,SY,TU,190,19,"FIGHT
","Use conventional military force, not specified below
",33.4749,36.2842,33.4749,36.2842,39,35,--,"Qadam, Dimashq, Syria","Qadam, Dimashq, Syria",
"bf5e75
",bf5e7f,SY,TU,SY,190,19,"FIGHT
","Use conventional military force, not specified below
",33.4749,36.2842,39,35,33.4749,36.2842,--,"Qadam, Dimashq, Syria",Turkey,
