Event_COLOR_CODE,Event_COLOR_ROOT_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,RootEventCode,MainReason,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword
"bf5e75
",bf5e76,LE,LE,LE,100,10,"DEMAND
","Demand, not specified below
",33.8719,35.5097,33.8719,35.5097,33.8719,35.5097,--,"Beirut, Beyrouth, Lebanon","Beirut, Beyrouth, Lebanon",
"bf5e75
",bf5e76,LE,EG,EG,100,10,"DEMAND
","Demand, not specified below
",33.8719,35.5097,31.2667,32.3,31.2667,32.3,--,"Beirut, Beyrouth, Lebanon","Syria, Bur Said, Egypt",
"bf5e75
",bf5e76,SO,SO,SO,100,10,"DEMAND
","Demand, not specified below
",10,49,10,49,10,49,--,Somalia,Somalia,
"bf5e75
",bf5e76,TU,SO,SO,100,10,"DEMAND
","Demand, not specified below
",39,35,10,49,10,49,--,Turkey,Somalia,
"5f2fc4
",5f2fcc,AF,AF,AF,026,02,"APPEAL
","Appeal to others to meet or negotiate
",33,65,33,65,33,65,--,Afghanistan,Afghanistan,
"5f2fc4
",5f2fc6,SY,SY,SY,020,02,"APPEAL
","Appeal, not specified below
",35.8143,36.3206,35.8143,36.3206,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria","Jisr Al-Shughour, Idlib, Syria",
"5f2fc4
",5f2fcc,LE,LE,LE,026,02,"APPEAL
","Appeal to others to meet or negotiate
",33.8333,35.8333,33.8333,35.8333,33.8333,35.8333,--,Lebanon,Lebanon,
"bf5e75
",bf5e7c,SY,MT,SY,043,04,"CONSULT
","Host a visit
",35.8143,36.3206,35.8333,14.5833,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria",Malta,
"ff4800
",ff4804,SY,SY,SY,013,01,"MAKE PUBLIC STATEMENT
","Make optimistic comment
",35.8143,36.3206,35.8143,36.3206,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria","Jisr Al-Shughour, Idlib, Syria",
"5e75bf
",5e75c8,SY,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35.8143,36.3206,35.8143,36.3206,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria","Jisr Al-Shughour, Idlib, Syria",
"5e75bf
",5e75c8,TU,TU,TU,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",36.2066,36.1572,36.2066,36.1572,36.2066,36.1572,--,"Hatay, Hatay, Turkey","Hatay, Hatay, Turkey",
"5e75bf
",5e75c8,TU,TU,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",36.2066,36.1572,36.2066,36.1572,35,38,--,"Hatay, Hatay, Turkey","Hatay, Hatay, Turkey",
"5e75bf
",5e75c8,TU,TU,TU,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",36.8858,30.7026,36.8858,30.7026,36.8858,30.7026,--,"Selcuk, Antalya, Turkey","Selcuk, Antalya, Turkey",
"5e75bf
",5e75c8,TU,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",36.8858,30.7026,35,38,35,38,--,"Selcuk, Antalya, Turkey",Syria,
"5e75bf
",5e75c8,SO,TU,TU,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",10,49,36.8858,30.7026,36.8858,30.7026,--,Somalia,"Selcuk, Antalya, Turkey",
"5e75bf
",5e75c8,SO,SO,SO,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",10,49,10,49,10,49,--,Somalia,Somalia,
"5e75bf
",5e75c8,SY,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,35,38,35,38,--,Syria,Syria,
"bf5e75
",bf5e7c,SY,SY,SY,043,04,"CONSULT
","Host a visit
",35.8143,36.3206,35.8143,36.3206,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria","Jisr Al-Shughour, Idlib, Syria",
"bf5e75
",bf5e7c,SY,SY,SY,043,04,"CONSULT
","Host a visit
",35,38,35,38,35,38,--,Syria,Syria,
"571d14
",571d1c,SY,SY,SY,170,17,"COERCE
","Coerce, not specified below 
",35.8143,36.3206,35.8143,36.3206,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria","Jisr Al-Shughour, Idlib, Syria",
"bf5e75
",bf5e7f,SY,SY,SY,190,19,"FIGHT
","Use conventional military force, not specified below
",35,38,35,38,35,38,--,Syria,Syria,
"5f2fc4
",5f2fcb,SY,TU,TU,025,02,"APPEAL
","Appeal to yield
",35.8143,36.3206,35.9025,36.0627,35.9025,36.0627,--,"Jisr Al-Shughour, Idlib, Syria","Yayladagi, Hatay, Turkey",
"5e75bf
",5e75c8,SY,TU,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,41.0186,28.9647,35,38,--,Syria,"Istanbul, Istanbul, Turkey",
"5e75bf
",5e75c8,SY,TU,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,39,35,35,38,--,Syria,Turkey,
"5e75bf
",5e75c8,SY,TU,TU,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,39,35,39,35,--,Syria,Turkey,
"bf5e75
",bf5e79,SY,TU,SY,040,04,"CONSULT
","Consult, not specified below
",35.8143,36.3206,39,35,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria",Turkey,
"bf5e75
",bf5e7b,SY,TU,SY,042,04,"CONSULT
","Make a visit
",35,38,36.8858,30.7026,35,38,--,Syria,"Selcuk, Antalya, Turkey",
"c1f827
",c1f82f,SY,TU,TU,080,08,"YIELD
","Yield, not specified below 
",35.8143,36.3206,39,35,39,35,--,"Jisr Al-Shughour, Idlib, Syria",Turkey,
"c1f827
",c1f82f,TU,TU,TU,080,08,"YIELD
","Yield, not specified below 
",36.2066,36.1572,36.2066,36.1572,36.2066,36.1572,--,"Hatay, Hatay, Turkey","Hatay, Hatay, Turkey",
"c1f827
",c1f82f,SY,TU,TU,080,08,"YIELD
","Yield, not specified below 
",35,38,36.8858,30.7026,36.8858,30.7026,--,Syria,"Selcuk, Antalya, Turkey",
"c1f827
",c1f82f,SY,TU,SY,080,08,"YIELD
","Yield, not specified below 
",35,38,36.8858,30.7026,35,38,--,Syria,"Selcuk, Antalya, Turkey",
"bf5e75
",bf5e81,SY,TU,SY,192,19,"FIGHT
","Occupy territory
",34.45,40.9186,39.9272,32.8644,34.45,40.9186,--,"Albu Kamal, Dayr az Zawr, Syria","Ankara, Ankara, Turkey",
"bf5e75
",bf5e81,SY,TU,TU,192,19,"FIGHT
","Occupy territory
",34.45,40.9186,39.9272,32.8644,39.9272,32.8644,--,"Albu Kamal, Dayr az Zawr, Syria","Ankara, Ankara, Turkey",
"bf5e75
",bf5e7c,SY,TU,TU,043,04,"CONSULT
","Host a visit
",33.5,36.3,39.9272,32.8644,39.9272,32.8644,--,"Damascus, Dimashq, Syria","Ankara, Ankara, Turkey",
"5f2fc4
",5f2fc6,TU,TU,TU,020,02,"APPEAL
","Appeal, not specified below
",40.0064,36.4106,40.0064,36.4106,36.2066,36.1572,--,"Seluk, Tokat, Turkey","Seluk, Tokat, Turkey",
"5f2fc4
",5f2fc6,TU,TU,TU,020,02,"APPEAL
","Appeal, not specified below
",40.0064,36.4106,40.0064,36.4106,40.0064,36.4106,--,"Seluk, Tokat, Turkey","Seluk, Tokat, Turkey",
"ff4800
",ff4801,TU,SY,TU,010,01,"MAKE PUBLIC STATEMENT
","Make statement, not specified below
",39,35,33.5,36.3,39.9272,32.8644,--,"Anatolia, Turkey (general), Turkey","Damascus, Dimashq, Syria",
"5f2fc4
",5f2fc6,LY,LY,LY,020,02,"APPEAL
","Appeal, not specified below
",25,17,25,17,25,17,--,Libya,Libya,
"5f2fc4
",5f2fc6,TS,TS,TS,020,02,"APPEAL
","Appeal, not specified below
",34,9,34,9,34,9,--,Tunisia,Tunisia,
"5e75bf
",5e75c8,TU,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",36.8858,30.7026,35,38,35,38,--,"Selcuk, Antalya, Turkey",Syria,
"5e75bf
",5e75c8,CB,CB,CB,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",13,105,13,105,13,105,--,Cambodia,Cambodia,
"5e75bf
",5e75c8,SO,SO,SO,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",10,49,10,49,10,49,--,Somalia,Somalia,
"5e75bf
",5e75c8,SY,SY,TU,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,35,38,39,35,--,Syria,Syria,
"5e75bf
",5e75c8,TS,TS,TS,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",34,9,34,9,34,9,--,Tunisia,Tunisia,
"bf5e75
",bf5e79,SY,SY,SY,040,04,"CONSULT
","Consult, not specified below
",35.8143,36.3206,35.8143,36.3206,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria","Jisr Al-Shughour, Idlib, Syria",
"bf5e75
",bf5e7c,TU,SY,SY,043,04,"CONSULT
","Host a visit
",36.8858,30.7026,35,38,35,38,--,"Selcuk, Antalya, Turkey",Syria,
"17534d 
",175357,TU,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",39.9272,32.8644,33.5,36.3,33.5,36.3,--,"Ankara, Ankara, Turkey","Damascus, Dimashq, Syria",
"17534d 
",175357,TU,SY,TU,073,07,"PROVIDE AID
","Provide humanitarian aid
",39.9272,32.8644,33.5,36.3,39.9272,32.8644,--,"Ankara, Ankara, Turkey","Damascus, Dimashq, Syria",
"c1f827
",c1f82f,SY,SY,SY,080,08,"YIELD
","Yield, not specified below 
",36.2028,37.1586,36.2028,37.1586,36.2028,37.1586,--,"Aleppo, ?alab, Syria","Aleppo, ?alab, Syria",
"c1f827
",c1f82f,TU,SY,SY,080,08,"YIELD
","Yield, not specified below 
",36.8858,30.7026,36.2028,37.1586,36.2028,37.1586,--,"Selcuk, Antalya, Turkey","Aleppo, ?alab, Syria",
"c1f827
",c1f82f,LE,LE,LE,080,08,"YIELD
","Yield, not specified below 
",33.8333,35.8333,33.8333,35.8333,33.8333,35.8333,--,Lebanon,Lebanon,
"571d14
",571d1e,TU,SY,TU,172,17,"COERCE
","Impose administrative sanctions, not specified below
",39,35,35,38,39,35,--,Turkey,Syria,
"5f2fc4
",5f2fc6,TU,SY,TU,020,02,"APPEAL
","Appeal, not specified below
",36.2066,36.1572,35,38,36.2066,36.1572,--,"Hatay, Hatay, Turkey",Syria,
"bf5e75
",bf5e7b,TU,SY,TU,042,04,"CONSULT
","Make a visit
",39.9272,32.8644,33.5,36.3,39.9272,32.8644,--,"Ankara, Ankara, Turkey","Damascus, Dimashq, Syria",
"5e75bf
",5e75c8,TU,TU,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",36.2066,36.1572,36.2066,36.1572,35,38,--,"Hatay, Hatay, Turkey","Hatay, Hatay, Turkey",
"5e75bf
",5e75c8,TS,TS,TS,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",34,9,34,9,34,9,--,Tunisia,Tunisia,
"5f2fc4
",5f2fcc,SY,AF,SY,026,02,"APPEAL
","Appeal to others to meet or negotiate
",35,38,33,65,35,38,--,Syria,Afghanistan,
"5f2fc4
",5f2fcc,SY,SY,SY,026,02,"APPEAL
","Appeal to others to meet or negotiate
",35,38,35,38,35,38,--,Syria,Syria,
"5e75bf
",5e75c8,SY,TU,TU,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,39.9272,32.8644,39.9272,32.8644,--,Syria,"Ankara, Ankara, Turkey",
"5e75bf
",5e75c8,SY,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,35,38,35,38,--,Syria,Syria,
"bf5e75
",bf5e79,SY,TU,SY,040,04,"CONSULT
","Consult, not specified below
",35.8143,36.3206,39,35,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria",Turkey,
"bf5e75
",bf5e79,SY,SY,SY,040,04,"CONSULT
","Consult, not specified below
",35.8143,36.3206,35.8143,36.3206,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria","Jisr Al-Shughour, Idlib, Syria",
"5e75bf
",5e75c8,SY,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,35,38,35,38,--,Syria,Syria,
"17534d 
",175357,SY,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"17534d 
",175357,LE,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.8333,35.8333,33.5,36.3,33.5,36.3,--,Lebanon,"Damascus, Dimashq, Syria",
"17534d 
",175357,LE,SY,LE,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.8333,35.8333,33.5,36.3,33.8333,35.8333,--,Lebanon,"Damascus, Dimashq, Syria",
"ff4800
",ff4804,SY,SY,SY,013,01,"MAKE PUBLIC STATEMENT
","Make optimistic comment
",35.8143,36.3206,35.8143,36.3206,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria","Jisr Al-Shughour, Idlib, Syria",
"ff4800
",ff4804,TU,TU,TU,013,01,"MAKE PUBLIC STATEMENT
","Make optimistic comment
",39.9272,32.8644,39.9272,32.8644,39.9272,32.8644,--,"Ankara, Ankara, Turkey","Ankara, Ankara, Turkey",
"17534d 
",175357,SY,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",35.9306,36.6339,35.9306,36.6339,35.9306,36.6339,--,"Idlib, Idlib, Syria","Idlib, Idlib, Syria",
"ff4800
",ff4804,SY,SY,SY,013,01,"MAKE PUBLIC STATEMENT
","Make optimistic comment
",35.8143,36.3206,35.8143,36.3206,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria","Jisr Al-Shughour, Idlib, Syria",
"5e75bf
",5e75c8,TU,TU,TU,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",36.2066,36.1572,36.2066,36.1572,36.2066,36.1572,--,"Hatay, Hatay, Turkey","Hatay, Hatay, Turkey",
"5e75bf
",5e75c8,SY,SY,TU,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,35,38,36.2066,36.1572,--,Syria,Syria,
"ff4800
",ff4804,SY,SY,SY,013,01,"MAKE PUBLIC STATEMENT
","Make optimistic comment
",35.9306,36.6339,35.9306,36.6339,35.9306,36.6339,--,"Idlib, Idlib, Syria","Idlib, Idlib, Syria",
"5f2fc4
",5f2fcb,SY,TU,TU,025,02,"APPEAL
","Appeal to yield
",35.8143,36.3206,35.9025,36.0627,35.9025,36.0627,--,"Jisr Al-Shughour, Idlib, Syria","Yayladagi, Hatay, Turkey",
"57144e
",571454,SY,TU,SY,141,14,"PROTEST
","Demonstrate or rally
",35.8143,36.3206,35.9025,36.0627,35.8143,36.3206,--,"Jisr Al Shughour, Idlib, Syria","Yayladagi, Hatay, Turkey",
"5f2fc4
",5f2fc6,SY,SY,SY,020,02,"APPEAL
","Appeal, not specified below
",35,38,35,38,35,38,--,Syria,Syria,
"17534d 
",175357,SY,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"17534d 
",175357,LE,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.8333,35.8333,33.5,36.3,33.5,36.3,--,Lebanon,"Damascus, Dimashq, Syria",
"17534d 
",175357,TU,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",39,35,33.5,36.3,33.5,36.3,--,Turkey,"Damascus, Dimashq, Syria",
"17534d 
",175357,TU,SY,LE,073,07,"PROVIDE AID
","Provide humanitarian aid
",39,35,33.5,36.3,33.8333,35.8333,--,Turkey,"Damascus, Dimashq, Syria",
"5f2fc4
",5f2fc6,SY,SY,SY,020,02,"APPEAL
","Appeal, not specified below
",35,38,35,38,35,38,--,Syria,Syria,
"5e75bf
",5e75c8,SY,TU,TU,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,36.2066,36.1572,36.2066,36.1572,--,Syria,"Hatay, Hatay, Turkey",
"17534d 
",175357,SY,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"17534d 
",175357,LE,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.8333,35.8333,33.5,36.3,33.5,36.3,--,Lebanon,"Damascus, Dimashq, Syria",
"17534d 
",175357,LE,SY,LE,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.8333,35.8333,33.5,36.3,33.8333,35.8333,--,Lebanon,"Damascus, Dimashq, Syria",
"17534d 
",175357,SY,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"17534d 
",175357,LE,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.8333,35.8333,33.5,36.3,33.5,36.3,--,Lebanon,"Damascus, Dimashq, Syria",
"17534d 
",175357,TU,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",39,35,33.5,36.3,33.5,36.3,--,Turkey,"Damascus, Dimashq, Syria",
"17534d 
",175357,TU,SY,LE,073,07,"PROVIDE AID
","Provide humanitarian aid
",39,35,33.5,36.3,33.8333,35.8333,--,Turkey,"Damascus, Dimashq, Syria",
"bf5e75
",bf5e7b,TS,TS,TS,042,04,"CONSULT
","Make a visit
",34,9,34,9,34,9,--,Tunisia,Tunisia,
"17534d 
",175354,IS,IS,IS,070,07,"PROVIDE AID
","Provide aid, not specified below
",31.7667,35.2333,31.7667,35.2333,31.7667,35.2333,--,"Jerusalem, Israel (general), Israel","Jerusalem, Israel (general), Israel",
"bf5e75
",bf5e7b,LE,SY,SY,042,04,"CONSULT
","Make a visit
",33.8719,35.5097,35.8143,36.3206,35.8143,36.3206,--,"Beirut, Beyrouth, Lebanon","Jisr Al-Shughour, Idlib, Syria",
"bf5e75
",bf5e7b,LY,LY,LY,042,04,"CONSULT
","Make a visit
",25,17,25,17,25,17,--,Libya,Libya,
"c1f827
",c1f833,SY,AF,SY,0841,08,"YIELD
","Return, release person(s)
",33.5,36.3,34.5167,69.1833,33.5,36.3,--,"Damascus, Dimashq, Syria","Kabul, Kabol, Afghanistan",
"c1f827
",c1f833,SY,IZ,SY,0841,08,"YIELD
","Return, release person(s)
",33.5,36.3,33,44,33.5,36.3,--,"Damascus, Dimashq, Syria",Iraq,
"5e75bf
",5e75c8,SY,TU,TU,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,35.9025,36.0627,35.9025,36.0627,--,Syria,"Yayladagi, Hatay, Turkey",
"5e75bf
",5e75c8,SY,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,35,38,35,38,--,Syria,Syria,
"bf5e75
",bf5e7b,LY,LY,LY,042,04,"CONSULT
","Make a visit
",25,17,25,17,25,17,--,Libya,Libya,
"bf5e75
",bf5e7b,US,US,US,042,04,"CONSULT
","Make a visit
",42.1497,-74.9384,42.1497,-74.9384,42.1497,-74.9384,--,"New York, United States","New York, United States",
"bf5e75
",bf5e7b,SY,SY,TU,042,04,"CONSULT
","Make a visit
",35,38,35,38,39,35,--,Syria,Syria,
"bf5e75
",bf5e7b,TU,SY,MT,042,04,"CONSULT
","Make a visit
",39,35,35,38,35.8333,14.5833,--,Turkey,Syria,
"bf5e75
",bf5e7c,SY,SY,TU,043,04,"CONSULT
","Host a visit
",35,38,35,38,39,35,--,Syria,Syria,
"571d14
",571d1a,SY,AF,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",35,38,33,65,35,38,--,Syria,Afghanistan,
"571d14
",571d1a,SY,SY,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",35,38,35,38,35,38,--,Syria,Syria,
"57144e
",571455,TU,SY,TU,142,14,"PROTEST
","Conduct hunger strike, not specified below
",35.9025,36.0627,33.5,36.3,35.9025,36.0627,--,"Yayladagi, Hatay, Turkey","Damascus, Dimashq, Syria",
"57144e
",571455,TU,TU,SY,142,14,"PROTEST
","Conduct hunger strike, not specified below
",35.9025,36.0627,35.9025,36.0627,33.5,36.3,--,"Yayladagi, Hatay, Turkey","Yayladagi, Hatay, Turkey",
"bf5e75
",bf5e82,SY,SY,SY,193,19,"FIGHT
","Fight with small arms and light weapons
",35.8143,36.3206,35.8143,36.3206,35.8143,36.3206,--,"Jisr Al-Shughour, Idlib, Syria","Jisr Al-Shughour, Idlib, Syria",
"bf5e75
",bf5e7b,AF,AF,AF,042,04,"CONSULT
","Make a visit
",33,65,33,65,33,65,--,Afghanistan,Afghanistan,
