Event_COLOR_CODE,Event_ROOT_COLOR_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,Root Event Code,Main Reason,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword,Duplicate Entry
"5e75bf
",5e75c8,IZ,SY,ET,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",33,44,35,38,8,38,"http://worldradio.ch/wrs/news/wrsnews/ikea-to-make-shelters-for-refugees.shtml?36299
",Iraq,Syria,,0
"5e75bf
",5e75c8,IZ,SY,IZ,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",33,44,35,38,33,44,"http://worldradio.ch/wrs/news/wrsnews/ikea-to-make-shelters-for-refugees.shtml?36299
",Iraq,Syria,,0
"5e75bf
",5e75c5,JO,SY,SY,0331,03,"EXPRESS INTENT TO COOPERATE
","Express intent to provide economic aid
",32.2808,35.8993,32.6189,36.1021,32.6189,36.1021,"http://blogs.redcross.org.uk/emergencies/2013/07/cash-grants-a-lifeline-for-refugees-while-they-wait-for-syria-news-2/
","Jerash, Jordan (general), Jordan","Deraa, Dara, Syria",,0
"571d21
",571d27,JO,SY,JO,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",31.95,35.9333,35,38,31.95,35.9333,"http://en.ammonnews.net/article.aspx?articleno=21956
","Amman, (JO11), Jordan",Syria,,0
"571d21
",571d27,JO,SY,JO,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",31,36,35,38,31,36,"http://www.wam.org.ae/servlet/Satellite?c=WamLocEnews&cid=1290005405768&p=1135099400124&pagename=WAM%2FWamLocEnews%2FW-T-LEN-FullNews
",Jordan,Syria,,0
"17534d 
",175355,JO,SY,JO,071,07,"PROVIDE AID
","Provide economic aid
",31.95,35.9333,35,38,31.95,35.9333,"http://en.ammonnews.net/article.aspx?articleno=21956
","Amman, (JO11), Jordan",Syria,,0
"17534d 
",175355,JO,JO,JO,071,07,"PROVIDE AID
","Provide economic aid
",31,36,31,36,31,36,"http://www.wam.org.ae/servlet/Satellite?c=WamLocEnews&cid=1290005405768&p=1135099400124&pagename=WAM%2FWamLocEnews%2FW-T-LEN-FullNews
",Jordan,Jordan,,0
"17534d 
",175357,JO,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",31,36,33.5,36.3,33.5,36.3,"http://reliefweb.int/report/syrian-arab-republic/iraqjordanturkey-syrians-blocked-fleeing-war
",Jordan,"Damascus, Dimashq, Syria",,0
"17534d 
",175357,JO,SY,JO,073,07,"PROVIDE AID
","Provide humanitarian aid
",31,36,33.5,36.3,31,36,"http://reliefweb.int/report/syrian-arab-republic/iraqjordanturkey-syrians-blocked-fleeing-war
",Jordan,"Damascus, Dimashq, Syria",,0
"17534d 
",175357,JO,JO,JO,073,07,"PROVIDE AID
","Provide humanitarian aid
",31,36,31,36,31,36,"http://reliefweb.int/report/syrian-arab-republic/iraqjordanturkey-syrians-blocked-fleeing-war
",Jordan,Jordan,,0
"bf5e75
",bf5e7b,SY,SY,SY,042,04,"CONSULT
","Make a visit
",35,38,35,38,35,38,"http://news.yahoo.com/blogs/power-players-abc-news/life-syrian-refugee-look-inside-world-second-largest-110910811.html
",Syria,Syria,,0
"17534d 
",175357,LE,LE,LE,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.8719,35.5097,33.8719,35.5097,33.8719,35.5097,"http://www.iom.int/cms/render/live/en/sites/iom/home/news-and-views/press-briefing-notes/pbn-2013/pbn-listing/aid-deliveries-to-syrian-refugee.html
","Beirut, Beyrouth, Lebanon","Beirut, Beyrouth, Lebanon",,1
"17534d 
",175357,SY,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",35,38,35,38,35,38,"http://www.iom.int/cms/render/live/en/sites/iom/home/news-and-views/press-briefing-notes/pbn-2013/pbn-listing/aid-deliveries-to-syrian-refugee.html
",Syria,Syria,,1
"17534d 
",175359,SY,JO,JO,075,07,"PROVIDE AID
","Grant asylum
",35,38,31.95,35.9333,31.95,35.9333,"http://en.ammonnews.net/article.aspx?articleno=21970
",Syria,"Amman, (JO11), Jordan",,1
"17534d 
",175359,SY,SY,JO,075,07,"PROVIDE AID
","Grant asylum
",35,38,35,38,31.95,35.9333,"http://en.ammonnews.net/article.aspx?articleno=21970
",Syria,Syria,,1
"c03624
",c0362d,SY,SY,SY,090,09,"INVESTIGATE
","Investigate, not specified below
",35,38,35,38,35,38,"http://news.yahoo.com/blogs/power-players-abc-news/life-syrian-refugee-look-inside-world-second-largest-110910811.html
",Syria,Syria,,1
"c03624
",c0362d,US,US,US,090,09,"INVESTIGATE
","Investigate, not specified below
",38,-97,38,-97,38,-97,"http://www.irishsun.com/index.php/sid/215551466/scat/baf10b3527f6df38
",United States,United States,,1
"571d14
",571d1e,SY,SY,SY,172,17,"COERCE
","Impose administrative sanctions, not specified below
",35,38,35,38,35,38,"http://www.israelnationalnews.com/News/News.aspx/169499
",Syria,Syria,,1
"c03624
",c0362d,JO,RS,JO,090,09,"INVESTIGATE
","Investigate, not specified below
",31,36,60,100,31,36,"http://www.irishsun.com/index.php/sid/215551466/scat/baf10b3527f6df38
",Jordan,Russia,,1
"bf5e75
",bf5e81,SY,JO,JO,192,19,"FIGHT
","Occupy territory
",33.5,36.3,31,36,31,36,"http://reliefweb.int/report/syrian-arab-republic/iraqjordanturkey-syrians-blocked-fleeing-war
","Damascus, Dimashq, Syria",Jordan,,1
"bf5e75
",bf5e81,JO,SY,SY,192,19,"FIGHT
","Occupy territory
",31,36,33.5,36.3,33.5,36.3,"http://www.hrw.org/news/2013/07/01/iraqjordanturkey-syrians-blocked-fleeing-war
",Jordan,"Damascus, Dimashq, Syria",,1
