Event_COLOR_CODE,Event_ROOT_COLOR_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,Root Event Code,Main Reason,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword,Duplicate Entry
"571d14
",571d1a,IR,IR,IR,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",37,46,37,46,37,46,--,"Azarbayjan, Iran (general), Iran","Azarbayjan, Iran (general), Iran",,1
"17534d 
",175359,JO,JO,KU,075,07,"PROVIDE AID
","Grant asylum
",32.2808,35.8993,32.2808,35.8993,29.3375,47.6581,--,"Jerash, Jordan (general), Jordan","Jerash, Jordan (general), Jordan",,1
"17534d 
",175359,KU,KU,SY,075,07,"PROVIDE AID
","Grant asylum
",29.3375,47.6581,29.3375,47.6581,35,38,--,Kuwait,Kuwait,,1
"571d14
",571d1d,KU,KU,KU,1711,17,"COERCE
","Confiscate property
",29.2667,47.9333,29.2667,47.9333,29.2667,47.9333,--,"Jleeb Al-Shuyoukh, Kuwait (general), Kuwait","Jleeb Al-Shuyoukh, Kuwait (general), Kuwait",,1
"c1f827
",c1f82f,IS,SY,SY,080,08,"YIELD
","Yield, not specified below 
",32.9656,35.5005,32.9049,35.8072,32.9049,35.8072,--,"Safed, Ha?afon, Israel","Golan Heights, Syria (general), Syria",,1
"94c42f
",94c432,SY,SY,SY,120,12,"REJECT
","Reject, not specified below
",32.9049,35.8072,32.9049,35.8072,32.9049,35.8072,--,"Golan Heights, Syria (general), Syria","Golan Heights, Syria (general), Syria",,2
"94c42f
",94c432,SY,IS,IS,120,12,"REJECT
","Reject, not specified below
",32.9049,35.8072,32.9656,35.5005,32.9656,35.5005,--,"Golan Heights, Syria (general), Syria","Safed, Ha?afon, Israel",,2
"571d21
",571d27,SY,IS,IS,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",32.9049,35.8072,31.5,34.75,31.5,34.75,--,"Golan Heights, Syria (general), Syria",Israel,,2
"bf5e75
",bf5e81,SY,JO,TU,192,19,"FIGHT
","Occupy territory
",32.9049,35.8072,31,36,39,35,--,"Golan Heights, Syria (general), Syria",Jordan,,2
"bf5e75
",bf5e81,SY,TU,TU,192,19,"FIGHT
","Occupy territory
",32.9049,35.8072,39,35,39,35,--,"Golan Heights, Syria (general), Syria",Turkey,,1
"bf5e75
",bf5e81,SY,JO,SY,192,19,"FIGHT
","Occupy territory
",36.2028,37.1586,31,36,36.2028,37.1586,--,"Aleppo, ?alab, Syria",Jordan,,1
"5f2fc4
",5f2fc6,KU,JO,JO,020,02,"APPEAL
","Appeal, not specified below
",29.3375,47.6581,32.2808,35.8993,32.2808,35.8993,--,Kuwait,"Jerash, Jordan (general), Jordan",,1
"5f2fc4
",5f2fc6,KU,KU,SY,020,02,"APPEAL
","Appeal, not specified below
",29.3375,47.6581,29.3375,47.6581,35,38,--,Kuwait,Kuwait,,1
"5f2fc4
",5f2fc6,SY,JO,JO,020,02,"APPEAL
","Appeal, not specified below
",35,38,32.2808,35.8993,32.2808,35.8993,--,Syria,"Jerash, Jordan (general), Jordan",,1
"ff4800
",ff4801,SY,KU,KU,010,01,"MAKE PUBLIC STATEMENT
","Make statement, not specified below
",35,38,29.3375,47.6581,29.3375,47.6581,--,Syria,Kuwait,,1
"c1f827
",c1f82f,SY,LE,LE,080,08,"YIELD
","Yield, not specified below 
",33.5,36.3,33.8719,35.5097,33.8719,35.5097,--,"Damascus, Dimashq, Syria","Beirut, Beyrouth, Lebanon",,1
"bf5e75
",bf5e7b,SY,NL,NL,042,04,"CONSULT
","Make a visit
",35,38,52.35,4.91667,52.35,4.91667,--,Syria,"Amsterdam, Noord-Holland, Netherlands",,1
"bf5e75
",bf5e7b,SY,NL,SY,042,04,"CONSULT
","Make a visit
",35,38,52.35,4.91667,35,38,--,Syria,"Amsterdam, Noord-Holland, Netherlands",,1
"ff4800
",ff4801,SY,TU,TU,010,01,"MAKE PUBLIC STATEMENT
","Make statement, not specified below
",35,38,40.112,29.6186,40.112,29.6186,--,Syria,"Domez, Bursa, Turkey",,1
"bf5e75
",bf5e7a,SY,TU,TU,041,04,"CONSULT
","Discuss by telephone
",35,38,40.112,29.6186,40.112,29.6186,--,Syria,"Domez, Bursa, Turkey",,1
"bf5e75
",bf5e7a,TU,SY,TU,041,04,"CONSULT
","Discuss by telephone
",40.112,29.6186,35,38,40.112,29.6186,--,"Domez, Bursa, Turkey",Syria,,1
"bf5e75
",bf5e7c,JO,SY,SY,043,04,"CONSULT
","Host a visit
",31.95,35.9333,33.5,36.3,33.5,36.3,--,"Amman, (JO11), Jordan","Damascus, Dimashq, Syria",,1
"5f2fc4
",5f2fc6,KU,SY,KU,020,02,"APPEAL
","Appeal, not specified below
",29.3375,47.6581,35,38,29.3375,47.6581,--,Kuwait,Syria,,1
"571d21
",571d27,LY,SY,SY,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",32.8925,13.18,33.5,36.3,33.5,36.3,--,"Tripoli, Tarabulus, Libya","Damascus, Dimashq, Syria",,1
"571d21
",571d27,LE,SY,SY,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",33.8333,35.8333,33.5,36.3,33.5,36.3,--,Lebanon,"Damascus, Dimashq, Syria",,1
"144e57
",144e63,LY,SY,LE,183,18,"ASSAULT
","Conduct suicide, car, or other non-military bombing, not spec below
",32.8925,13.18,35,38,33.8333,35.8333,--,"Tripoli, Tarabulus, Libya",Syria,,1
"5f2fc4
",5f2fc6,JO,JO,JO,020,02,"APPEAL
","Appeal, not specified below
",32.2808,35.8993,32.2808,35.8993,32.2808,35.8993,--,"Jerash, Jordan (general), Jordan","Jerash, Jordan (general), Jordan",,1
"5e75bf
",5e75c2,SY,SY,SY,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",35,38,35,38,35,38,--,Syria,Syria,,1
"571d21
",571d27,SY,SY,SY,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,1
"17534d 
",175357,JO,JO,JO,073,07,"PROVIDE AID
","Provide humanitarian aid
",31.1847,35.7047,31.1847,35.7047,31.1847,35.7047,--,"Karak, Jordan (general), Jordan","Karak, Jordan (general), Jordan",,1
"e9c392
",e9c395,SY,SY,SY,111,11,"DISAPPROVE
","Criticize or denounce 
",32.9049,35.8072,32.9049,35.8072,32.9049,35.8072,--,"Golan Heights, Syria (general), Syria","Golan Heights, Syria (general), Syria",,1
"1d1831
",1d183b,SY,SY,SY,154,15,"EXHIBIT FORCE POSTURE
","Mobilize or increase armed forces 
",32.9049,35.8072,32.9049,35.8072,32.9049,35.8072,--,"Golan Heights, Syria (general), Syria","Golan Heights, Syria (general), Syria",,1
"bf5e75
",bf5e83,LE,SY,LE,194,19,"FIGHT
","Fight with artillery and tanks
",33.8333,35.8333,33.5,36.3,33.8333,35.8333,--,Lebanon,"Damascus, Dimashq, Syria",,1
"bf5e75
",bf5e83,LE,LE,LE,194,19,"FIGHT
","Fight with artillery and tanks
",33.8333,35.8333,33.8333,35.8333,33.8333,35.8333,--,Lebanon,Lebanon,,1
"ff4800
",ff4801,SY,SY,AE,010,01,"MAKE PUBLIC STATEMENT
","Make statement, not specified below
",33.5,36.3,33.5,36.3,25.2522,55.28,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,1
"ff4800
",ff4801,SY,AE,AE,010,01,"MAKE PUBLIC STATEMENT
","Make statement, not specified below
",33.5,36.3,25.2522,55.28,25.2522,55.28,--,"Damascus, Dimashq, Syria","Dubai, Dubayy, United Arab Emirates",,1
"bf5e75
",bf5e7b,SY,JO,SY,042,04,"CONSULT
","Make a visit
",33.5,36.3,31.95,35.9333,33.5,36.3,--,"Damascus, Dimashq, Syria","Amman, (JO11), Jordan",,1
"c1f827
",c1f82f,SY,JO,SY,080,08,"YIELD
","Yield, not specified below 
",35,38,31.1847,35.7047,35,38,--,Syria,"Karak, Jordan (general), Jordan",,1
"17534d 
",175357,SY,JO,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",35,38,31.1847,35.7047,35,38,--,Syria,"Karak, Jordan (general), Jordan",,1
"571d21
",571d27,SY,LY,SY,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",33.5,36.3,32.8925,13.18,33.5,36.3,--,"Damascus, Dimashq, Syria","Tripoli, Tarabulus, Libya",,1
"17534d 
",175359,TU,TU,TU,075,07,"PROVIDE AID
","Grant asylum
",37.0594,37.3825,37.0594,37.3825,37.0594,37.3825,--,"Gaziantep, Gaziantep, Turkey","Gaziantep, Gaziantep, Turkey",,1
"bf5e75
",bf5e79,LE,SY,LE,040,04,"CONSULT
","Consult, not specified below
",33.8719,35.5097,36.2028,37.1586,33.8719,35.5097,--,"Beirut, Beyrouth, Lebanon","Aleppo, ?alab, Syria",,1
"bf5e75
",bf5e7c,LE,SY,LE,043,04,"CONSULT
","Host a visit
",33.8719,35.5097,36.2028,37.1586,33.8719,35.5097,--,"Beirut, Beyrouth, Lebanon","Aleppo, ?alab, Syria",,1
"bf5e75
",bf5e79,SY,LE,LE,040,04,"CONSULT
","Consult, not specified below
",36.2028,37.1586,33.8719,35.5097,33.8719,35.5097,--,"Aleppo, ?alab, Syria","Beirut, Beyrouth, Lebanon",,1
"bf5e75
",bf5e7b,SY,LE,LE,042,04,"CONSULT
","Make a visit
",36.2028,37.1586,33.8719,35.5097,33.8719,35.5097,--,"Aleppo, ?alab, Syria","Beirut, Beyrouth, Lebanon",,1
"bf5e75
",bf5e7b,SY,SY,JO,042,04,"CONSULT
","Make a visit
",35,38,35,38,31.95,35.9333,--,Syria,Syria,,4
"17534d 
",175354,CA,SY,SY,070,07,"PROVIDE AID
","Provide aid, not specified below
",60,-95,35,38,35,38,--,Canada,Syria,,4
"bf5e75
",bf5e79,CA,CA,CA,040,04,"CONSULT
","Consult, not specified below
",45.4167,-75.7,45.4167,-75.7,45.4167,-75.7,--,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",,4
"bf5e75
",bf5e79,CA,JO,CA,040,04,"CONSULT
","Consult, not specified below
",45.4167,-75.7,31.95,35.9333,45.4167,-75.7,--,"Ottawa, Ontario, Canada","Amman, (JO11), Jordan",,4
"17534d 
",175357,EG,EG,EG,073,07,"PROVIDE AID
","Provide humanitarian aid
",31.2522,32.3253,31.2522,32.3253,31.2522,32.3253,--,"Port Fuad, Bur Said, Egypt","Port Fuad, Bur Said, Egypt",,4
"17534d 
",175357,TU,EG,EG,073,07,"PROVIDE AID
","Provide humanitarian aid
",39,35,31.2522,32.3253,31.2522,32.3253,--,Turkey,"Port Fuad, Bur Said, Egypt",,4
"5e75bf
",5e75c8,TU,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",39,35,35,38,35,38,--,Turkey,Syria,,1
"57144e
",571454,JO,JO,SY,141,14,"PROTEST
","Demonstrate or rally
",31,36,31,36,35,38,--,Jordan,Jordan,,1
"57144e
",571454,JO,SY,SY,141,14,"PROTEST
","Demonstrate or rally
",31,36,35,38,35,38,--,Jordan,Syria,,1
"bf5e75
",bf5e81,KU,SY,SY,192,19,"FIGHT
","Occupy territory
",29.3375,47.6581,33.5,36.3,33.5,36.3,--,Kuwait,"Damascus, Dimashq, Syria",,1
"571d21
",571d27,RS,SY,RS,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",55.7522,37.6156,35,38,55.7522,37.6156,--,"Moscow, Moskva, Russia",Syria,,1
"17534d 
",175354,RS,SY,RS,070,07,"PROVIDE AID
","Provide aid, not specified below
",55.7522,37.6156,35,38,55.7522,37.6156,--,"Moscow, Moskva, Russia",Syria,,1
"bf5e75
",bf5e79,SY,CA,CA,040,04,"CONSULT
","Consult, not specified below
",35,38,45.4167,-75.7,45.4167,-75.7,--,Syria,"Ottawa, Ontario, Canada",,1
"5e75bf
",5e75c8,SY,JO,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,31,36,35,38,--,Syria,Jordan,,2
"5e75bf
",5e75c8,SY,TU,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,39,35,35,38,--,Syria,Turkey,,2
"17534d 
",175357,SY,JO,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",35,38,31,36,35,38,--,Syria,Jordan,,1
"ff4800
",ff4803,IS,IS,IS,012,01,"MAKE PUBLIC STATEMENT
","Make pessimistic comment
",31.5,34.75,31.5,34.75,31.5,34.75,--,Israel,Israel,,1
"17534d 
",175359,SY,SY,SY,075,07,"PROVIDE AID
","Grant asylum
",33.5,36.3,36.2028,37.1586,35.9306,36.6339,--,"Damascus, Dimashq, Syria","Aleppo, ?alab, Syria",,1
"17534d 
",175359,SY,SY,SY,075,07,"PROVIDE AID
","Grant asylum
",33.5,36.3,35.9306,36.6339,33.5,36.3,--,"Damascus, Dimashq, Syria","Idlib, Idlib, Syria",,1
"17534d 
",175359,SY,SY,SY,075,07,"PROVIDE AID
","Grant asylum
",33.5,36.3,35.9306,36.6339,35.9306,36.6339,--,"Damascus, Dimashq, Syria","Idlib, Idlib, Syria",,1
"17534d 
",175359,SY,SZ,SY,075,07,"PROVIDE AID
","Grant asylum
",34.889,35.8866,46.1956,6.14811,34.889,35.8866,--,"Tartous, Tartus, Syria","Geneva, Genè, Switzerland",,1
"17534d 
",175359,SZ,SY,SY,075,07,"PROVIDE AID
","Grant asylum
",46.1956,6.14811,34.889,35.8866,34.889,35.8866,--,"Geneva, Genè, Switzerland","Tartous, Tartus, Syria",,1
"17534d 
",175359,SZ,SZ,SZ,075,07,"PROVIDE AID
","Grant asylum
",46.1956,6.14811,46.1956,6.14811,46.1956,6.14811,--,"Geneva, Genè, Switzerland","Geneva, Genè, Switzerland",,1
"5e75bf
",5e75c8,IT,IT,IT,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",41.9,12.4833,41.9,12.4833,41.9,12.4833,--,"Rome, Lazio, Italy","Rome, Lazio, Italy",,1
"5e75bf
",5e75c8,SY,US,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",35,38,38,-97,35,38,--,Syria,United States,,1
"5e75bf
",5e75c8,US,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",38,-97,35,38,35,38,--,United States,Syria,,1
"17534d 
",175359,GM,SY,GM,075,07,"PROVIDE AID
","Grant asylum
",51,9,35,38,51,9,--,Germany,Syria,,1
"ff4800
",ff4801,UK,SY,LE,010,01,"MAKE PUBLIC STATEMENT
","Make statement, not specified below
",54,-2,35,38,33.8719,35.5097,--,United Kingdom,Syria,,1
"17534d 
",175359,IZ,SY,SY,075,07,"PROVIDE AID
","Grant asylum
",36.8671,42.9884,33.5,36.3,33.5,36.3,--,"Dohuk, Dahuk, Iraq","Damascus, Dimashq, Syria",,1
"17534d 
",175354,IT,SY,IT,070,07,"PROVIDE AID
","Provide aid, not specified below
",42.8333,12.8333,33.5,36.3,42.8333,12.8333,--,Italy,"Damascus, Dimashq, Syria",,1
"17534d 
",175357,IT,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",42.8333,12.8333,33.5,36.3,33.5,36.3,--,Italy,"Damascus, Dimashq, Syria",,1
"17534d 
",175357,IT,IT,IT,073,07,"PROVIDE AID
","Provide humanitarian aid
",42.8333,12.8333,42.8333,12.8333,42.8333,12.8333,--,Italy,Italy,,1
"bf5e75
",bf5e7b,JO,SY,SY,042,04,"CONSULT
","Make a visit
",32.0728,36.088,36.2028,37.1586,36.2028,37.1586,--,"Zarqa, Jordan (general), Jordan","Aleppo, ?alab, Syria",,1
"17534d 
",175357,SY,JO,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.5,36.3,31,36,33.5,36.3,--,"Damascus, Dimashq, Syria",Jordan,,1
"17534d 
",175357,LE,SY,SY,073,07,"PROVIDE AID
","Provide humanitarian aid
",33.8333,35.8333,33.5,36.3,33.5,36.3,--,Lebanon,"Damascus, Dimashq, Syria",,1
"bf5e75
",bf5e79,AF,AF,AF,040,04,"CONSULT
","Consult, not specified below
",36.502,69.87,36.502,69.87,36.502,69.87,--,"Sang-E Atash, Takhar, Afghanistan","Sang-E Atash, Takhar, Afghanistan",,1
"571d14
",571d1a,LE,IS,IS,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",33.8333,35.8333,31.4167,34.3333,31.4167,34.3333,--,Lebanon,"Gaza, Israel (general), Israel",,1
"571d14
",571d1a,SY,IS,IS,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",35,38,31.4167,34.3333,31.4167,34.3333,--,Syria,"Gaza, Israel (general), Israel",,1
"bf5e75
",bf5e7c,AF,AF,AF,043,04,"CONSULT
","Host a visit
",36.502,69.87,36.502,69.87,36.502,69.87,--,"Sang-E Atash, Takhar, Afghanistan","Sang-E Atash, Takhar, Afghanistan",,1
"571d21
",571d27,SY,SY,SY,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",36.2028,37.1586,36.2028,37.1586,36.2028,37.1586,--,"Aleppo, ?alab, Syria","Aleppo, ?alab, Syria",,1
"bf5e75
",bf5e7c,SY,JO,SY,043,04,"CONSULT
","Host a visit
",36.2028,37.1586,32.0728,36.088,36.2028,37.1586,--,"Aleppo, ?alab, Syria","Zarqa, Jordan (general), Jordan",,1
"c1f827
",c1f82f,SY,JO,TU,080,08,"YIELD
","Yield, not specified below 
",32.9049,35.8072,31,36,39,35,--,"Golan Heights, Syria (general), Syria",Jordan,,1
"c1f827
",c1f82f,SY,TU,SY,080,08,"YIELD
","Yield, not specified below 
",32.9049,35.8072,39,35,32.9049,35.8072,--,"Golan Heights, Syria (general), Syria",Turkey,,1
"ff4800
",ff4801,SY,JO,SY,010,01,"MAKE PUBLIC STATEMENT
","Make statement, not specified below
",36.2028,37.1586,32.0728,36.088,36.2028,37.1586,--,"Aleppo, ?alab, Syria","Zarqa, Jordan (general), Jordan",,1
"bf5e75
",bf5e7b,AF,AF,AF,042,04,"CONSULT
","Make a visit
",36.502,69.87,36.502,69.87,36.502,69.87,--,"Sang-E Atash, Takhar, Afghanistan","Sang-E Atash, Takhar, Afghanistan",,1
"571d14
",571d1a,AF,AF,AF,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",35,63.75,35,63.75,35,63.75,--,"Badghis, Badghis, Afghanistan","Badghis, Badghis, Afghanistan",,1
"17534d 
",175354,IT,SY,SY,070,07,"PROVIDE AID
","Provide aid, not specified below
",42.8333,12.8333,33.5,36.3,33.5,36.3,--,Italy,"Damascus, Dimashq, Syria",,1
"17534d 
",175355,AF,AF,AF,071,07,"PROVIDE AID
","Provide economic aid
",35,63.75,35,63.75,35,63.75,--,"Badghis, Badghis, Afghanistan","Badghis, Badghis, Afghanistan",,1
"571d14
",571d1a,SY,SY,SY,051,05,"ENGAGE IN DIPLOMATIC COOPERATION
","Praise or endorse
",36.2028,37.1586,36.2028,37.1586,36.2028,37.1586,--,"Aleppo, ?alab, Syria","Aleppo, ?alab, Syria",,1
"c1f827
",c1f82f,IS,SY,IS,080,08,"YIELD
","Yield, not specified below 
",32.0667,34.7667,32.9049,35.8072,32.0667,34.7667,--,"Tel Aviv, Tel Aviv, Israel","Golan Heights, Syria (general), Syria",,1
"571d21
",571d27,TU,TU,TU,060,06,"ENGAGE IN MATERIAL COOPERATION
","Engage in material cooperation, not specified below
",39,35,39,35,39,35,--,Turkey,Turkey,,1
"5e75bf
",5e75c5,LE,LE,LE,033,03,"EXPRESS INTENT TO COOPERATE
","Express intent to provide matyerial aid, not specified below
",33.8719,35.5097,33.8719,35.5097,33.8719,35.5097,--,"Beirut, Beyrouth, Lebanon","Beirut, Beyrouth, Lebanon",,2
"5e75bf
",5e75c5,UK,SY,UK,033,03,"EXPRESS INTENT TO COOPERATE
","Express intent to provide matyerial aid, not specified below
",54,-2,35,38,54,-2,--,United Kingdom,Syria,,2
"bf5e75
",bf5e7c,SY,SY,JO,043,04,"CONSULT
","Host a visit
",35,38,35,38,31.95,35.9333,--,Syria,Syria,,3
"17534d 
",175354,LE,LE,LE,070,07,"PROVIDE AID
","Provide aid, not specified below
",33.8719,35.5097,33.8719,35.5097,33.8719,35.5097,--,"Beirut, Beyrouth, Lebanon","Beirut, Beyrouth, Lebanon",,3
"17534d 
",175354,SY,LE,UK,070,07,"PROVIDE AID
","Provide aid, not specified below
",35,38,33.8719,35.5097,54,-2,--,Syria,"Beirut, Beyrouth, Lebanon",,3
"17534d 
",175354,SY,UK,UK,070,07,"PROVIDE AID
","Provide aid, not specified below
",35,38,54,-2,54,-2,--,Syria,United Kingdom,,3
"c1f827
",c1f82f,SY,LE,SY,080,08,"YIELD
","Yield, not specified below 
",33.5,36.3,33.6504,35.5324,33.5,36.3,--,"Damascus, Dimashq, Syria","Chouf, Mont-Liban, Lebanon",,3
"c1f827
",c1f82f,SY,LE,LE,080,08,"YIELD
","Yield, not specified below 
",33.5,36.3,33.6504,35.5324,33.6504,35.5324,--,"Damascus, Dimashq, Syria","Chouf, Mont-Liban, Lebanon",,3
