Event_COLOR_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword
"bf5e75
",SY,SY,SY,043,"Host a visit
",35,38,35,38,35,38,"http://www.globalpost.com/dispatches/globalpost-blogs/commentary/syrian-refugee-crisis-can-the-breaking-point-be-prevented
",Syria,Syria,
"5e75bf
",IZ,SY,ET,036,"Express intent to meet or negotiate
",33,44,35,38,8,38,"http://worldradio.ch/wrs/news/wrsnews/ikea-to-make-shelters-for-refugees.shtml?36299
",Iraq,Syria,
"5e75bf
",IZ,SY,IZ,036,"Express intent to meet or negotiate
",33,44,35,38,33,44,"http://worldradio.ch/wrs/news/wrsnews/ikea-to-make-shelters-for-refugees.shtml?36299
",Iraq,Syria,
"5e75bf
",JO,SY,SY,0331,"Express intent to provide economic aid
",32.2808,35.8993,32.6189,36.1021,32.6189,36.1021,"http://blogs.redcross.org.uk/emergencies/2013/07/cash-grants-a-lifeline-for-refugees-while-they-wait-for-syria-news-2/
","Jerash, Jordan (general), Jordan","Deraa, Dara, Syria",
"571d21
",JO,SY,JO,060,"Engage in material cooperation, not specified below
",31.95,35.9333,35,38,31.95,35.9333,"http://en.ammonnews.net/article.aspx?articleno=21956
","Amman, (JO11), Jordan",Syria,
"571d21
",JO,SY,JO,060,"Engage in material cooperation, not specified below
",31,36,35,38,31,36,"http://www.wam.org.ae/servlet/Satellite?c=WamLocEnews&cid=1290005405768&p=1135099400124&pagename=WAM%2FWamLocEnews%2FW-T-LEN-FullNews
",Jordan,Syria,
"17534d 
",JO,SY,JO,071,"Provide economic aid
",31.95,35.9333,35,38,31.95,35.9333,"http://en.ammonnews.net/article.aspx?articleno=21956
","Amman, (JO11), Jordan",Syria,
"17534d 
",JO,JO,JO,071,"Provide economic aid
",31,36,31,36,31,36,"http://www.wam.org.ae/servlet/Satellite?c=WamLocEnews&cid=1290005405768&p=1135099400124&pagename=WAM%2FWamLocEnews%2FW-T-LEN-FullNews
",Jordan,Jordan,
"17534d 
",JO,SY,SY,073,"Provide humanitarian aid
",31,36,33.5,36.3,33.5,36.3,"http://reliefweb.int/report/syrian-arab-republic/iraqjordanturkey-syrians-blocked-fleeing-war
",Jordan,"Damascus, Dimashq, Syria",
"17534d 
",JO,SY,JO,073,"Provide humanitarian aid
",31,36,33.5,36.3,31,36,"http://reliefweb.int/report/syrian-arab-republic/iraqjordanturkey-syrians-blocked-fleeing-war
",Jordan,"Damascus, Dimashq, Syria",
"17534d 
",JO,JO,JO,073,"Provide humanitarian aid
",31,36,31,36,31,36,"http://reliefweb.int/report/syrian-arab-republic/iraqjordanturkey-syrians-blocked-fleeing-war
",Jordan,Jordan,
"ff4800
",SY,SY,SY,012,"Make pessimistic comment
",35,38,35,38,35,38,"http://www.israelnationalnews.com/News/News.aspx/169499
",Syria,Syria,
"5e75bf
",SY,SY,SY,036,"Express intent to meet or negotiate
",35.9306,36.6339,35.9306,36.6339,35.9306,36.6339,"http://www.doctorswithoutborders.org/press/release.cfm?id=6820&cat=press-release&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+DoctorsWithoutBordersNews+%28Doctors+Without+Borders%2FM%C3%A9decins+Sans+Fronti%C3%A8res+News+Updates%29
","Idlib, Idlib, Syria","Idlib, Idlib, Syria",
"bf5e75
",SY,SY,SY,042,"Make a visit
",35.9306,36.6339,35.9306,36.6339,35.9306,36.6339,"http://www.doctorswithoutborders.org/press/release.cfm?id=6820&cat=press-release&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+DoctorsWithoutBordersNews+%28Doctors+Without+Borders%2FM%C3%A9decins+Sans+Fronti%C3%A8res+News+Updates%29
","Idlib, Idlib, Syria","Idlib, Idlib, Syria",
"571d14
",SY,SY,SY,052,"Defend verbally
",34.45,40.9186,34.45,40.9186,34.45,40.9186,"http://www.hrw.org/news/2013/07/01/iraqjordanturkey-syrians-blocked-fleeing-war
","Abu Kamal, Dayr az Zawr, Syria","Abu Kamal, Dayr az Zawr, Syria",
"571d14
",SY,SY,SY,052,"Defend verbally
",36.3078,36.6889,36.3078,36.6889,36.3078,36.6889,"http://reliefweb.int/report/syrian-arab-republic/iraqjordanturkey-syrians-blocked-fleeing-war
","Atma, ?alab, Syria","Atma, ?alab, Syria",
"571d14
",TU,SY,SY,052,"Defend verbally
",39,35,35,38,35,38,"http://www.hurriyetdailynews.com/turkey-rebuffs-hrws-syria-refugee-report.aspx?pageID=238&nID=49803&NewsCatID=359
",Turkey,Syria,
"17534d 
",SY,SY,SY,072,"Provide military aid
",33.5,36.3,33.5,36.3,33.5,36.3,"http://en.ammonnews.net/article.aspx?articleno=21965
","Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",
"bf5e75
",LE,SY,SY,042,"Make a visit
",33.8719,35.5097,36.2028,37.1586,36.2028,37.1586,"http://www.hppr.org/post/public-health-crisis-looms-syria
","Beirut, Beyrouth, Lebanon","Aleppo, ?alab, Syria",
"bf5e75
",US,SY,SY,042,"Make a visit
",38,-97,36.2028,37.1586,36.2028,37.1586,"http://www.hppr.org/post/public-health-crisis-looms-syria
",United States,"Aleppo, ?alab, Syria",
