Event_COLOR_CODE,Event_ROOT_COLOR_CODE,Actor1Geo_CountryCode,Actor2Geo_CountryCode,ActionGeo_CountryCode,Event Code,Root Event Code,Main Reason,Reason,AC1_lat,AC1_lon,AC2_lat,AC2_lon,AC_lat,AC_lon,Source Url,Source City,Destination City,Keyword,Duplicate Entry
"bf5e75
",bf5e7c,LE,SY,SY,043,04,"CONSULT
","Host a visit
",34.1794,36.4208,34.7268,36.7234,34.7268,36.7234,--,"Arsal, Mohafazat Baalbek-Hermel, Lebanon","Homs, ?ims, Syria",,1
"bf5e75
",bf5e7c,LE,SY,LE,043,04,"CONSULT
","Host a visit
",34.1794,36.4208,34.7268,36.7234,34.1794,36.4208,--,"Arsal, Mohafazat Baalbek-Hermel, Lebanon","Homs, ?ims, Syria",,1
"bf5e75
",bf5e7b,SY,LE,SY,042,04,"CONSULT
","Make a visit
",34.7268,36.7234,34.1794,36.4208,34.7268,36.7234,--,"Homs, ?ims, Syria","Arsal, Mohafazat Baalbek-Hermel, Lebanon",,1
"bf5e75
",bf5e7b,SY,LE,LE,042,04,"CONSULT
","Make a visit
",34.7268,36.7234,34.1794,36.4208,34.1794,36.4208,--,"Homs, ?ims, Syria","Arsal, Mohafazat Baalbek-Hermel, Lebanon",,1
"17534d 
",175357,SY,QA,QA,073,07,"PROVIDE AID
","Provide humanitarian aid
",32.7359,35.7441,25.5,51.25,25.5,51.25,--,"Wadi Khaled, Al Qunaytirah, Syria",Qatar,,1
"c1f827
",c1f833,SY,SY,SY,0841,08,"YIELD
","Return, release person(s)
",33.2854,35.69,33.2854,35.69,33.2854,35.69,--,"Ramtha, Al Qunaytirah, Syria","Ramtha, Al Qunaytirah, Syria",,1
"94c42f
",94c432,SY,SY,SY,120,12,"REJECT
","Reject, not specified below
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,2
"57144e
",571454,SY,SY,SY,141,14,"PROTEST
","Demonstrate or rally
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,3
"17534d 
",175354,SY,SY,SY,070,07,"PROVIDE AID
","Provide aid, not specified below
",32.7359,35.7441,32.7359,35.7441,32.7359,35.7441,--,"Wadi Khaled, Al Qunaytirah, Syria","Wadi Khaled, Al Qunaytirah, Syria",,1
"17534d 
",175354,SY,LE,LE,070,07,"PROVIDE AID
","Provide aid, not specified below
",32.7359,35.7441,34.1794,36.4208,34.1794,36.4208,--,"Wadi Khaled, Al Qunaytirah, Syria","Aarsal, Mohafazat Baalbek-Hermel, Lebanon",,1
"17534d 
",175359,SY,TU,TU,075,07,"PROVIDE AID
","Grant asylum
",35,38,36.2066,36.1572,36.2066,36.1572,--,Syria,"Hatay, Hatay, Turkey",,1
"c1f827
",c1f82f,SY,TU,SY,080,08,"YIELD
","Yield, not specified below 
",35,38,36.7161,37.115,35,38,--,Syria,"Kilis, Kilis, Turkey",,1
"17534d 
",175359,TU,TU,TU,075,07,"PROVIDE AID
","Grant asylum
",36.2066,36.1572,36.2066,36.1572,36.2066,36.1572,--,"Hatay, Hatay, Turkey","Hatay, Hatay, Turkey",,1
"e9c392
",e9c395,SY,SY,SY,111,11,"DISAPPROVE
","Criticize or denounce 
",33.5,36.3,33.5,36.3,33.5,36.3,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,3
"bf5e75
",bf5e84,SY,SY,LU,195,19,"FIGHT
","Employ aerial weapons
",33.5,36.3,33.5,36.3,49.75,6.1667,--,"Damascus, Dimashq, Syria","Damascus, Dimashq, Syria",,3
"bf5e75
",bf5e84,SY,SY,LU,195,19,"FIGHT
","Employ aerial weapons
",33.4849,36.2928,33.5,36.3,49.75,6.1667,--,"Midan, Dimashq, Syria","Damascus, Dimashq, Syria",,3
"bf5e75
",bf5e7b,SY,TU,SY,042,04,"CONSULT
","Make a visit
",35,38,37.9782,37.1352,35,38,--,Syria,"Anbar, Kahramanmaras, Turkey",,3
"5e75bf
",5e75c8,TU,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",36.2066,36.1572,35,38,35,38,--,"Hatay, Hatay, Turkey",Syria,,1
"5e75bf
",5e75c8,TU,SY,SY,036,03,"EXPRESS INTENT TO COOPERATE
","Express intent to meet or negotiate
",41.0186,28.9647,35,38,35,38,--,"Constantinople, Istanbul, Turkey",Syria,,1
"bf5e75
",bf5e7c,TU,SY,SY,043,04,"CONSULT
","Host a visit
",37.9782,37.1352,35,38,35,38,--,"Anbar, Kahramanmaras, Turkey",Syria,,1
"c1f827
",c1f82f,TU,SY,SY,080,08,"YIELD
","Yield, not specified below 
",41.0186,28.9647,35.1318,36.7578,35.1318,36.7578,--,"Istanbul, Istanbul, Turkey","Hama, ?amah, Syria",,1
"c1f827
",c1f82f,TU,SY,TU,080,08,"YIELD
","Yield, not specified below 
",41.0186,28.9647,35.1318,36.7578,41.0186,28.9647,--,"Istanbul, Istanbul, Turkey","Hama, ?amah, Syria",,1
"5e75bf
",5e75c2,SY,SY,SY,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",32.9049,35.8072,32.9049,35.8072,32.9049,35.8072,--,"Golan Heights, Syria (general), Syria","Golan Heights, Syria (general), Syria",,1
"5e75bf
",5e75c2,IS,SY,SY,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",31.7667,35.2333,32.9049,35.8072,32.9049,35.8072,--,"Jerusalem, Israel (general), Israel","Golan Heights, Syria (general), Syria",,1
"5e75bf
",5e75c2,IS,IS,IS,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",31.7667,35.2333,31.7667,35.2333,31.7667,35.2333,--,"Jerusalem, Israel (general), Israel","Jerusalem, Israel (general), Israel",,2
"5e75bf
",5e75c2,EG,EG,EG,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",27,30,27,30,27,30,--,Egypt,Egypt,,2
"5e75bf
",5e75c2,US,US,US,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",39.8647,-86.2604,39.7684,-86.158,39.8647,-86.2604,--,"Indiana, United States","Indianapolis, Indiana, United States",,2
"5e75bf
",5e75c2,US,US,US,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",39.8647,-86.2604,39.8647,-86.2604,39.8647,-86.2604,--,"Indiana, United States","Indiana, United States",,2
"5e75bf
",5e75c2,SY,SY,SY,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",35,38,35,38,35,38,--,Syria,Syria,,2
"5e75bf
",5e75c2,IS,SY,SY,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",31.7667,35.2333,33.5,36.3,33.5,36.3,--,"Jerusalem, Israel (general), Israel","Damascus, Dimashq, Syria",,2
"5e75bf
",5e75c2,CH,SY,SY,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",35,105,35.5148,35.7768,35.5148,35.7768,--,China,"Latakia, Al Ladhiqiyah, Syria",,2
"5e75bf
",5e75c2,IS,SY,SY,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",31.5,34.75,32.9049,35.8072,32.9049,35.8072,--,Israel,"Golan Heights, Syria (general), Syria",,2
"5e75bf
",5e75c2,IS,SY,SY,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",31.5,34.75,35.5148,35.7768,35.5148,35.7768,--,Israel,"Latakia, Al Ladhiqiyah, Syria",,2
"5e75bf
",5e75c2,IS,IS,IS,030,03,"EXPRESS INTENT TO COOPERATE
","Express intent to cooperate, not specified below
",31.5,34.75,31.5,34.75,31.5,34.75,--,Israel,Israel,,1
"bf5e75
",bf5e76,SY,SY,SY,100,10,"DEMAND
","Demand, not specified below
",32.9049,35.8072,32.9049,35.8072,32.9049,35.8072,--,"Golan Heights, Syria (general), Syria","Golan Heights, Syria (general), Syria",,1
"bf5e75
",bf5e76,IS,SY,IS,100,10,"DEMAND
","Demand, not specified below
",31.7667,35.2333,33.5,36.3,31.7667,35.2333,--,"Jerusalem, Israel (general), Israel","Damascus, Dimashq, Syria",,1
"bf5e75
",bf5e76,CH,SY,SY,100,10,"DEMAND
","Demand, not specified below
",35,105,35.5148,35.7768,35.5148,35.7768,--,China,"Latakia, Al Ladhiqiyah, Syria",,1
